Customer ID,Age,Income,Region,Occupation,Caste,Religion,Culture,Socio-Economics
1,25,400000,North,Engineer,General,Hindu,Modern,Middle
2,30,600000,South,Doctor,OBC,Hindu,Traditional,Upper
3,22,300000,East,Student,General,Muslim,Modern,Lower
4,35,700000,West,Manager,General,Hindu,Traditional,Middle
5,40,800000,North,Teacher,OBC,Hindu,Modern,Upper
6,28,500000,South,Accountant,General,Hindu,Traditional,Middle
7,32,900000,East,Designer,OBC,Muslim,Modern,Upper
8,45,950000,West,Engineer,General,Hindu,Traditional,Middle
9,50,1000000,North,Doctor,General,Christian,Modern,Upper
10,27,450000,South,Lawyer,OBC,Hindu,Traditional,Middle
11,33,620000,East,Manager,General,Hindu,Modern,Upper
12,38,780000,West,Engineer,OBC,Hindu,Traditional,Middle
13,24,350000,North,Student,General,Muslim,Modern,Lower
14,29,550000,South,Teacher,OBC,Hindu,Traditional,Upper
15,42,850000,East,Doctor,General,Christian,Modern,Middle
16,31,720000,West,Accountant,OBC,Hindu,Traditional,Upper
17,26,480000,North,Engineer,General,Hindu,Modern,Lower
18,37,920000,South,Manager,OBC,Muslim,Traditional,Upper
19,44,1100000,East,Lawyer,General,Hindu,Modern,Middle
20,23,320000,West,Designer,OBC,Hindu,Traditional,Lower
21,34,650000,North,Teacher,General,Hindu,Modern,Middle
22,39,800000,South,Engineer,OBC,Hindu,Traditional,Upper
23,30,580000,East,Accountant,General,Hindu,Modern,Middle
24,25,410000,West,Doctor,OBC,Muslim,Traditional,Lower
25,36,730000,North,Manager,General,Hindu,Modern,Upper
26,41,950000,South,Engineer,OBC,Hindu,Traditional,Middle
27,48,1150000,East,Teacher,General,Christian,Modern,Upper
28,22,290000,West,Student,OBC,Hindu,Traditional,Lower
29,29,500000,North,Lawyer,General,Hindu,Modern,Middle
30,35,690000,South,Designer,OBC,Muslim,Traditional,Upper
31,40,860000,East,Accountant,General,Hindu,Modern,Middle
32,33,730000,West,Engineer,OBC,Hindu,Traditional,Upper
33,28,420000,North,Teacher,General,Hindu,Modern,Lower
34,38,810000,South,Manager,OBC,Muslim,Traditional,Middle
35,43,900000,East,Lawyer,General,Hindu,Modern,Upper
36,26,380000,West,Designer,OBC,Hindu,Traditional,Lower
37,37,700000,North,Engineer,General,Hindu,Modern,Middle
38,29,570000,South,Accountant,OBC,Christian,Traditional,Upper
39,31,620000,East,Doctor,General,Hindu,Modern,Middle
40,24,340000,West,Manager,OBC,Hindu,Traditional,Lower
41,42,950000,North,Teacher,General,Muslim,Modern,Upper
42,34,670000,South,Engineer,OBC,Hindu,Traditional,Middle
43,39,810000,East,Designer,General,Hindu,Modern,Upper
44,27,430000,West,Doctor,OBC,Christian,Traditional,Lower
45,36,740000,North,Manager,General,Hindu,Modern,Middle
46,41,920000,South,Engineer,OBC,Hindu,Traditional,Upper
47,49,1100000,East,Teacher,General,Hindu,Modern,Upper
48,23,310000,West,Student,OBC,Muslim,Traditional,Lower
49,30,590000,North,Lawyer,General,Hindu,Modern,Middle
50,38,820000,South,Designer,OBC,Christian,Traditional,Upper
